,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
30,H,5,4,D,D,W,D,W,L,2,1,1,1,-16.0
31,D,3,1,L,L,W,D,L,L,-2,-3,2,2,-2.0
32,H,4,4,L,D,W,D,W,L,0,1,0,0,-3.0
33,D,3,2,L,L,W,D,L,D,-1,-1,1,1,5.0
34,D,4,6,D,L,W,W,W,L,0,3,-2,-2,3.0
35,A,6,6,W,W,L,W,W,L,0,1,0,0,3.0
36,D,2,4,D,L,D,L,D,W,-1,1,-2,-2,4.0
37,H,5,4,D,W,D,W,D,L,1,-1,1,1,-12.0
38,H,4,2,D,L,W,L,D,D,-1,-2,2,2,-2.0
39,D,4,6,D,W,L,W,W,L,1,3,-2,-2,15.0
40,D,6,7,L,W,W,D,L,W,-2,2,-1,-1,11.0
41,A,4,5,L,W,D,W,L,D,-2,-1,-1,-1,14.0
42,H,8,3,W,D,W,D,D,L,2,-1,5,5,-7.0
43,H,7,6,W,D,L,W,L,W,1,-2,1,1,-16.0
44,H,8,4,W,D,D,D,L,L,8,-2,4,4,-6.0
45,A,5,4,D,L,D,L,D,W,1,0,1,1,-1.0
46,D,9,5,W,W,W,D,D,L,3,0,4,4,6.0
47,D,3,4,D,D,L,D,L,L,-1,-1,-1,-1,-4.0
48,H,7,2,W,L,D,D,D,L,1,-3,5,5,1.0
49,H,7,6,D,W,W,L,W,W,3,-2,1,1,-12.0
50,H,8,5,W,W,L,D,L,D,1,-5,3,3,-11.0
51,H,5,10,D,D,L,W,W,L,-1,2,-5,-5,10.0
52,A,7,11,W,L,D,W,W,D,1,11,-4,-4,12.0
53,A,7,4,L,D,L,L,L,W,1,-3,3,3,-17.0
54,H,3,10,L,D,D,D,W,W,-2,3,-7,-7,4.0
55,H,4,4,L,D,L,D,D,D,-5,-1,0,0,-9.0
56,A,6,11,D,D,D,W,W,D,0,3,-5,-5,-3.0
57,D,6,5,L,W,L,L,D,L,-3,0,1,1,8.0
58,D,2,10,L,D,D,W,W,D,-4,2,-8,-8,5.0
59,A,5,3,D,L,D,L,D,D,-5,-2,2,2,2.0
60,A,7,3,L,D,L,D,L,D,-3,-4,4,4,5.0
61,D,4,8,L,D,D,D,L,D,-2,1,-4,-2,13.0
62,D,7,11,W,L,L,W,D,D,-2,4,-4,-4,18.0
63,D,11,7,D,W,W,W,L,D,2,-4,4,4,-3.0
64,D,14,6,W,W,W,L,D,D,13,-2,8,8,-4.0
65,D,6,9,D,L,D,D,W,W,0,1,-3,-5,6.0
66,A,10,8,L,D,W,W,D,D,1,0,2,5,-9.0
67,D,10,7,L,W,W,D,L,W,1,-3,3,0,-10.0
68,D,14,7,W,W,W,L,W,L,5,-1,7,6,-5.0
69,H,9,4,D,W,W,L,D,D,1,-2,5,5,-10.0
70,D,11,7,W,W,D,L,L,D,1,-6,4,4,6.0
71,A,8,8,D,L,W,D,W,L,-1,-2,0,-2,-7.0
72,H,11,11,W,D,L,D,L,W,2,1,0,-2,-7.0
73,A,8,10,D,D,L,L,L,D,-3,0,-2,-2,9.0
74,A,9,7,W,W,L,D,D,L,1,0,2,5,3.0
75,D,6,5,W,D,L,L,L,D,-1,-8,1,4,-8.0
76,H,12,15,D,W,D,D,W,W,4,13,-3,-2,1.0
77,H,7,12,D,L,D,D,D,W,-2,2,-5,-5,1.0
78,D,8,15,D,W,L,D,W,W,-4,5,-7,-6,-1.0
79,H,12,12,D,W,D,W,D,W,4,4,0,-1,-4.0
80,H,8,11,D,L,L,L,D,L,-6,0,-3,-5,4.0
81,D,8,9,L,D,L,L,W,W,-4,-1,-1,-3,-2.0
82,D,11,7,W,D,W,D,W,D,1,-1,4,1,11.0
83,H,14,12,W,W,D,D,W,W,4,1,2,-1,-17.0
84,A,16,15,D,D,W,L,D,W,5,12,1,1,7.0
85,H,8,6,L,D,D,D,L,L,-4,-8,2,3,3.0
86,H,9,10,D,D,W,W,D,L,-4,1,-1,0,2.0
87,A,5,12,L,D,L,L,D,D,-5,-1,-7,-5,12.0
88,A,10,13,W,D,D,W,L,L,2,1,-3,-1,1.0
89,A,6,11,D,L,L,W,D,W,-8,1,-5,-5,-3.0
90,H,12,10,L,D,W,L,W,D,-1,0,2,3,8.0
91,H,10,11,L,W,D,W,D,L,0,-5,-1,0,-9.0
92,H,15,16,W,L,D,L,D,D,3,2,-1,0,-4.0
93,H,18,14,W,L,D,L,W,W,15,1,4,3,-2.0
94,A,16,9,W,W,L,D,L,D,3,-4,7,2,-2.0
95,H,11,5,L,L,D,L,L,D,-1,-9,6,2,-6.0
96,A,8,18,D,D,W,W,W,D,-1,6,-10,-5,7.0
97,D,13,12,D,L,W,W,D,D,3,-3,1,0,-1.0
98,A,10,11,D,L,W,W,L,D,-1,-2,-1,2,-5.0
99,H,18,11,W,W,D,W,L,D,6,-2,7,6,-18.0
100,H,16,15,W,D,L,W,L,D,4,0,1,-2,-14.0
101,H,13,14,W,L,W,W,L,L,5,1,-1,3,-5.0
102,H,15,10,W,D,W,L,L,W,3,-1,5,6,8.0
103,H,16,5,L,L,D,L,L,L,1,-11,11,4,-8.0
104,H,21,10,W,W,L,L,D,L,18,-3,11,3,-14.0
105,H,13,11,D,W,D,L,W,D,-3,-10,2,5,-7.0
106,H,8,16,L,D,D,L,W,W,-2,2,-8,0,-2.0
107,D,6,15,L,L,D,D,L,W,-12,1,-9,-7,14.0
108,H,18,12,W,W,L,W,D,L,4,-3,6,3,-9.0
109,H,15,6,W,L,D,L,L,D,0,-12,9,9,3.0
110,A,11,24,L,L,W,W,W,W,-11,23,-13,-6,13.0
111,H,18,21,W,D,L,W,W,W,2,6,-3,0,-1.0
112,A,14,19,L,W,W,W,L,L,-5,2,-5,2,12.0
113,A,10,24,L,L,L,W,W,W,-2,12,-14,-9,10.0
114,H,16,18,L,L,W,W,W,D,1,4,-2,-5,-9.0
115,H,10,16,L,L,D,W,W,L,-8,8,-6,-6,10.0
116,H,14,16,L,W,L,W,D,W,-2,-2,-2,-5,3.0
117,A,12,19,L,W,D,W,W,D,-5,5,-7,-5,7.0
118,D,5,11,L,L,L,W,L,D,-12,-1,-6,-7,7.0
119,D,24,5,W,W,W,L,L,L,12,-12,19,12,-14.0
120,H,22,17,W,W,W,W,L,W,7,-1,5,4,-4.0
121,A,7,12,L,D,L,L,L,W,-14,-6,-5,-2,4.0
122,H,18,18,L,W,W,W,L,W,3,1,0,3,0.0
123,D,22,19,W,W,L,W,L,L,3,2,3,-2,-3.0
124,H,27,10,W,W,W,L,L,L,24,-3,17,9,-11.0
125,D,16,13,L,W,D,W,L,L,-3,-7,3,4,-8.0
126,H,12,14,D,W,L,L,L,W,-1,-6,-2,0,-11.0
127,D,16,19,L,W,W,D,W,D,7,2,-3,1,2.0
128,H,21,11,L,W,W,L,L,L,5,-12,10,5,-10.0
129,H,18,16,W,L,W,L,W,W,1,7,2,-2,15.0
130,H,7,7,D,D,L,L,L,D,-12,-15,0,1,-1.0
131,H,15,28,W,L,L,D,W,W,-5,13,-13,-6,11.0
132,A,19,15,L,D,W,W,D,W,1,2,4,-3,-6.0
133,A,14,30,L,L,L,W,W,W,-9,25,-16,-9,19.0
134,A,10,23,L,L,L,D,W,W,-4,3,-13,-7,4.0
135,A,20,17,D,W,L,D,L,W,2,-3,3,-1,4.0
136,H,14,22,D,W,L,L,W,W,-7,5,-8,-5,9.0
137,H,17,24,L,W,L,W,L,W,-3,8,-7,-6,6.0
138,A,11,21,L,L,L,W,L,W,-15,5,-10,-7,-6.0
139,A,18,17,L,W,L,D,L,W,-1,-3,1,-2,13.0
140,D,11,23,L,L,L,D,L,W,-16,5,-12,-10,8.0
141,A,10,33,W,D,D,W,W,W,-10,26,-23,-10,15.0
142,H,18,17,W,W,L,L,D,L,-3,5,1,2,8.0
143,A,14,24,L,L,L,W,W,L,-10,6,-10,-9,0.0
144,D,10,7,L,L,L,L,L,L,-7,-17,3,-1,-5.0
145,A,17,18,W,D,W,W,W,D,-5,3,-1,-3,6.0
146,H,20,26,W,L,W,W,D,W,-2,6,-6,-1,2.0
147,H,22,28,W,L,D,L,D,W,2,11,-6,-2,1.0
148,H,20,24,L,D,W,L,W,L,1,7,-4,-5,7.0
149,H,28,17,L,D,W,W,D,W,11,-5,11,3,-13.0
150,D,24,23,D,D,L,W,L,D,5,2,1,1,-5.0
151,H,8,12,D,L,L,D,L,L,-17,-16,-4,1,3.0
152,A,27,10,W,W,W,L,W,D,7,-13,17,7,4.0
153,H,26,22,L,W,D,L,W,L,3,0,4,3,5.0
154,H,24,21,L,L,W,L,W,L,6,0,3,0,-16.0
155,H,36,23,W,W,W,W,W,L,29,1,13,6,-9.0
156,H,21,11,W,W,W,D,L,L,4,-7,10,12,-3.0
157,H,17,14,L,L,D,L,L,L,4,-11,3,4,-15.0
158,H,23,21,W,W,D,W,W,W,-1,-2,2,1,-6.0
159,H,28,23,L,L,D,W,L,D,10,2,5,0,-9.0
160,D,11,23,W,D,L,L,W,W,-16,-1,-12,-5,7.0
161,D,21,39,L,L,W,W,W,W,-3,31,-18,-9,19.0
162,H,20,13,W,L,L,W,L,W,5,-12,7,-4,-11.0
163,H,14,21,L,L,L,L,W,W,-12,-4,-7,-9,7.0
164,H,17,22,L,L,W,L,L,W,-7,-1,-5,3,12.0
165,H,26,11,W,W,W,L,D,L,1,-8,15,9,-5.0
166,D,24,25,W,W,W,D,D,D,5,5,-1,7,3.0
167,H,12,29,L,D,L,W,L,W,-17,5,-17,-9,6.0
168,A,27,27,W,L,L,L,W,W,9,6,0,-3,-16.0
169,D,25,14,D,D,D,L,L,L,5,-12,11,6,-14.0
170,H,13,15,L,W,L,W,L,D,-15,-16,-2,3,2.0
171,D,21,25,L,L,W,D,W,W,-9,5,-4,-4,4.0
172,H,30,20,W,L,W,W,L,L,7,-6,10,5,5.0
173,H,25,29,W,L,L,W,W,W,1,2,-4,-7,-4.0
174,H,29,22,L,W,L,D,L,L,4,-3,7,3,-12.0
175,H,11,23,L,L,D,W,W,L,-9,8,-12,-6,7.0
176,H,24,12,L,D,W,D,W,D,-3,-16,12,0,-6.0
177,A,40,27,D,W,W,L,W,L,31,8,13,7,-3.0
178,D,24,34,D,L,W,W,W,L,-1,16,-10,0,8.0
179,D,15,20,W,L,D,W,L,L,-16,-6,-5,-3,-1.0
180,H,22,22,L,D,L,D,L,L,-5,-9,0,-3,7.0
181,H,23,12,L,W,W,L,D,W,7,-17,11,1,-12.0
182,H,16,27,W,L,W,W,L,D,-14,-2,-11,2,5.0
183,A,25,29,L,W,L,W,D,D,0,6,-4,-1,-3.0
184,H,32,26,W,L,W,D,D,W,6,5,6,-2,-1.0
185,H,30,35,W,L,W,D,W,W,9,16,-5,-1,2.0
186,H,40,33,L,D,W,W,W,L,30,9,7,-2,-19.0
187,H,29,18,L,W,W,D,W,L,0,-7,11,8,-13.0
188,D,25,14,D,D,L,W,L,L,-1,-8,11,4,-2.0
189,H,35,32,D,W,W,W,L,W,16,6,3,-2,-6.0
190,A,29,43,L,W,D,W,L,D,5,32,-14,-4,5.0
191,A,12,32,L,L,D,W,L,W,-20,1,-20,-7,10.0
192,A,22,16,L,D,L,D,L,W,-10,-17,6,-1,-1.0
193,D,33,26,L,W,W,W,L,W,7,10,7,0,15.0
194,D,18,19,L,D,W,W,W,L,-8,-12,-1,-5,4.0
195,H,15,33,D,W,L,W,W,L,-8,13,-18,-4,8.0
196,H,27,25,L,W,L,L,L,W,-4,-1,2,4,8.0
197,H,26,25,L,D,D,W,L,D,4,-4,1,4,-11.0
198,H,21,26,D,L,W,D,D,D,-8,-1,-5,-2,5.0
199,D,35,32,L,D,W,W,L,W,12,1,3,-5,-5.0
200,H,34,26,D,L,W,L,D,D,7,-3,8,4,10.0
201,A,19,25,D,L,D,L,W,L,-8,-9,-6,1,0.0
202,D,18,19,W,D,W,W,D,L,-7,-16,-1,0,-2.0
203,D,30,46,W,L,W,W,W,L,-3,33,-16,-3,10.0
204,H,24,20,W,D,L,D,W,W,-6,-12,4,-3,-1.0
205,H,25,38,L,W,L,W,L,D,-9,17,-13,-6,18.0
206,H,27,29,D,W,L,L,L,W,10,4,-2,5,-1.0
207,D,19,19,W,D,L,D,L,D,-16,-8,0,2,-6.0
208,H,20,22,D,W,W,L,L,D,-12,-11,-2,9,3.0
209,D,26,18,D,L,L,W,D,W,-1,-7,8,-3,-9.0
210,A,35,15,L,L,W,W,L,L,1,-22,20,2,-9.0
211,H,36,27,W,L,W,W,W,D,13,-5,9,-1,-11.0
212,H,47,29,D,W,W,L,W,L,33,7,18,3,-8.0
213,H,36,37,D,W,W,W,D,L,4,10,-1,0,-13.0
214,H,26,31,L,L,D,D,W,L,-6,-3,-5,-4,-1.0
215,D,39,30,D,W,L,W,D,W,17,11,9,-2,-3.0
216,A,29,36,L,L,L,W,L,W,1,13,-7,-5,2.0
217,A,15,47,W,L,L,D,W,W,-22,33,-32,-4,16.0
218,D,22,26,L,L,L,L,L,D,-12,-6,-4,-2,3.0
219,A,19,29,L,D,L,W,D,L,-11,3,-10,-2,17.0
220,H,20,23,D,D,W,W,L,D,-7,-12,-3,-1,-4.0
221,H,31,21,L,D,W,D,D,W,-5,-16,10,1,-3.0
222,D,27,31,L,W,W,W,W,L,-6,-5,-4,-2,-5.0
223,A,29,39,L,L,W,W,D,W,5,7,-10,-6,2.0
224,H,37,35,L,W,D,L,L,L,7,-1,2,1,12.0
225,H,31,37,D,W,D,L,W,D,11,7,-6,1,-15.0
226,A,21,23,D,D,W,D,L,L,-16,-12,-2,4,1.0
227,D,23,20,W,L,D,D,L,D,-12,-11,3,7,-4.0
228,A,29,31,L,W,D,L,D,W,1,-5,-2,-3,-8.0
229,D,35,39,L,L,L,L,D,W,-1,16,-4,1,6.0
230,D,40,23,D,W,W,W,D,D,16,-3,17,1,-8.0
231,H,53,29,W,W,D,L,L,L,38,-2,24,13,-5.0
232,D,30,28,D,W,L,D,L,W,-4,-6,2,-3,-5.0
233,D,42,16,W,W,D,D,L,W,9,-25,26,9,-10.0
234,D,32,30,D,W,W,D,L,L,-5,5,2,6,11.0
235,A,29,32,L,L,L,W,L,W,-2,2,-3,-7,3.0
236,H,40,16,D,L,D,D,L,W,16,-25,24,1,-15.0
237,H,32,23,D,W,W,L,W,L,-5,-16,9,3,4.0
238,H,34,34,W,D,W,W,L,D,14,-3,0,4,-6.0
239,D,26,23,W,D,L,W,D,D,-10,-3,3,-5,1.0
240,H,35,21,W,W,L,L,L,D,3,-20,14,5,-11.0
241,D,21,41,D,L,D,D,D,W,-15,16,-20,-5,16.0
242,H,29,36,D,D,L,L,D,L,-6,-2,-7,7,7.0
243,A,43,56,D,W,W,W,W,W,9,40,-13,-2,6.0
244,D,31,31,D,D,L,D,D,W,5,-4,0,0,-1.0
245,A,16,32,L,D,L,W,L,L,-27,1,-16,1,11.0
246,A,21,41,L,L,D,D,D,L,-20,16,-20,-1,12.0
247,H,24,43,D,L,W,D,W,W,-16,9,-19,-6,9.0
248,A,40,35,L,W,L,W,W,L,6,3,5,-3,17.0
249,H,36,37,L,D,L,W,W,D,-2,16,-1,-10,3.0
250,H,44,31,W,D,D,L,D,D,19,2,13,9,-5.0
251,H,59,27,W,W,W,L,D,W,41,-11,32,8,-12.0
252,D,25,22,D,D,W,D,D,L,-3,-15,3,4,-8.0
253,D,32,36,D,D,D,W,D,D,-4,-4,-4,-5,-10.0
254,D,27,38,L,D,W,W,W,W,-11,4,-11,-7,10.0
255,H,44,40,W,D,D,L,L,W,18,5,4,0,-18.0
256,D,33,25,D,W,L,D,D,W,1,-3,8,-3,-6.0
257,D,37,59,L,W,W,W,W,W,15,41,-22,-3,4.0
258,H,27,39,L,D,W,W,L,D,-11,-1,-12,1,5.0
259,D,38,24,W,W,W,L,D,L,4,-17,14,8,-13.0
260,A,23,33,D,D,D,D,D,D,-15,-4,-10,-3,10.0
261,H,35,16,W,W,D,L,L,L,-3,-32,19,7,-2.0
262,D,43,45,L,L,D,D,W,D,7,19,-2,-2,3.0
263,H,37,37,D,W,D,L,L,W,-4,-5,0,3,9.0
264,D,32,21,D,L,D,L,L,L,2,-22,11,2,-5.0
265,A,16,32,L,L,L,D,L,D,-32,2,-16,-2,8.0
266,D,21,37,L,L,L,D,W,D,-22,-4,-16,-8,-6.0
267,H,27,33,W,L,D,L,D,W,-16,0,-6,3,10.0
268,H,40,28,L,L,L,D,L,D,4,-11,12,-3,7.0
269,H,39,43,L,W,L,L,L,D,-2,7,-4,-3,1.0
270,A,27,38,D,D,D,W,W,W,-3,-2,-11,-4,-3.0
271,A,37,23,L,L,L,L,D,D,-6,-16,14,3,-9.0
272,A,36,40,W,D,D,D,D,W,-3,4,-4,-4,7.0
273,H,63,50,D,W,W,W,W,W,42,20,13,2,-1.0
274,H,50,35,W,W,W,W,D,L,20,3,15,5,-7.0
275,D,22,39,D,L,L,D,D,L,-22,15,-17,-7,9.0
276,H,28,36,D,W,L,W,D,D,-16,-3,-8,-2,6.0
277,D,31,37,W,D,L,L,L,L,-10,-6,-6,2,2.0
278,D,40,63,D,D,W,D,W,W,4,42,-23,-2,2.0
279,H,42,45,W,L,W,L,D,W,0,17,-3,1,4.0
280,A,26,41,W,L,D,W,W,W,-15,-1,-15,-7,5.0
281,D,27,41,L,D,D,D,W,D,-4,-2,-14,-5,-8.0
282,H,46,16,W,W,L,L,L,L,8,-35,30,6,3.0
283,D,44,37,L,D,L,W,D,L,5,1,7,-6,1.0
284,A,35,42,L,W,D,W,D,D,0,17,-7,-3,4.0
285,H,37,46,W,D,L,W,W,L,1,8,-9,2,-14.0
286,D,16,26,L,L,L,W,L,D,-35,-15,-10,-6,-3.0
287,A,41,43,D,W,D,W,D,D,-2,5,-2,-2,17.0
288,A,42,44,W,D,D,L,D,L,17,5,-2,6,-2.0
289,H,66,45,W,D,W,W,W,L,47,2,21,4,-7.0
290,A,38,28,L,D,L,D,L,D,-7,-4,10,-3,-1.0
291,H,44,32,W,W,W,D,L,W,0,-12,12,10,2.0
292,H,36,24,L,L,W,D,D,D,-5,-22,12,2,-4.0
293,A,35,46,L,L,W,L,W,W,-2,7,-11,-2,-11.0
294,D,38,53,D,W,D,W,L,W,1,18,-15,-6,4.0
295,D,49,34,W,D,L,W,W,D,19,-14,15,-2,-12.0
296,H,53,36,W,L,W,L,L,W,18,-5,17,7,-8.0
297,D,17,38,D,L,L,L,D,L,-35,-7,-21,0,6.0
298,H,42,28,L,W,D,D,L,D,15,-4,14,1,-7.0
299,H,24,34,D,D,D,W,W,D,-22,-14,-10,-7,-2.0
300,H,50,70,D,W,D,W,D,W,19,49,-20,-5,3.0
301,A,27,41,D,L,W,W,D,W,-16,3,-14,-3,14.0
302,A,48,47,W,D,L,W,D,W,7,6,1,-4,4.0
303,A,35,32,L,L,L,L,D,L,-3,-13,3,-1,-4.0
304,H,42,45,L,D,D,L,L,W,-3,-2,-3,0,12.0
305,A,44,49,L,W,W,W,L,W,-3,8,-5,3,-5.0
306,H,41,45,W,D,W,L,L,W,3,-2,-4,2,-2.0
307,D,41,35,W,D,W,L,L,L,3,-3,6,4,-3.0
308,A,35,45,D,W,W,W,L,W,-14,16,-10,3,11.0
309,H,47,44,W,D,W,L,W,W,6,-3,3,-3,-12.0
310,A,45,27,L,L,L,W,L,D,-3,-23,18,0,-6.0
311,H,35,27,W,L,D,L,D,L,-11,-18,8,3,-7.0
312,D,31,48,L,W,D,L,W,D,-4,5,-17,0,5.0
313,D,52,50,W,W,L,L,D,W,11,18,2,7,16.0
314,H,70,45,L,W,D,W,L,D,47,-1,25,0,-19.0
315,H,39,18,L,W,L,L,D,D,-4,-36,21,4,-7.0
316,A,27,57,L,D,L,W,D,W,-18,20,-30,-6,18.0
317,H,18,45,L,D,D,W,L,D,-36,-1,-27,-6,-3.0
318,A,50,50,L,D,W,W,W,D,18,8,0,-6,1.0
319,A,57,31,W,D,W,L,W,D,20,-4,26,5,-10.0
320,H,45,38,D,W,W,W,W,L,4,-9,7,4,-7.0
321,H,51,44,W,W,W,L,L,L,21,-6,7,6,-10.0
322,H,53,42,D,W,W,W,L,D,11,-7,11,5,9.0
323,A,45,27,L,L,L,L,L,D,-5,-20,18,-1,-12.0
324,H,73,30,W,L,W,W,W,L,48,-21,43,2,-13.0
325,A,49,42,D,L,W,W,L,W,5,-3,7,-1,-3.0
326,H,36,35,D,L,L,L,L,D,-5,-20,1,-6,-7.0
327,H,30,49,W,W,L,D,L,W,-21,5,-19,3,7.0
328,H,35,45,L,L,D,L,L,L,-20,-5,-10,4,8.0
329,A,38,53,W,W,L,W,L,D,-9,19,-15,-1,9.0
330,A,35,56,W,D,L,W,D,W,-1,12,-21,-2,-8.0
331,H,43,39,D,W,L,W,D,L,-7,-3,4,1,2.0
332,D,45,48,L,L,W,W,D,W,-4,5,-3,-7,14.0
333,A,45,54,W,W,L,W,W,W,-2,24,-9,-3,5.0
334,H,60,38,L,W,W,L,W,W,21,-10,22,3,-11.0
335,D,48,45,W,D,W,D,L,L,5,-6,3,7,-9.0
336,H,24,35,W,W,L,L,L,L,-32,-22,-11,4,1.0
337,A,54,45,W,W,W,L,L,W,24,-4,9,8,-15.0
338,H,56,30,W,D,W,L,W,W,12,-23,26,3,6.0
339,A,45,35,L,L,L,W,D,L,-6,-1,10,-8,-4.0
340,D,77,30,D,W,W,W,L,L,50,-23,47,6,-19.0
341,D,49,46,L,L,D,W,D,W,3,-6,3,-4,-4.0
342,A,39,59,L,W,D,W,W,W,-4,13,-20,-11,6.0
343,H,59,45,W,W,W,L,W,W,23,-5,14,1,-6.0
344,A,33,59,W,L,W,W,W,W,-22,23,-26,-1,10.0
345,A,38,63,W,L,L,W,L,W,-20,24,-25,-6,14.0
346,H,38,24,L,L,W,L,W,W,-11,-33,14,-1,-4.0
347,H,59,54,W,W,W,L,W,W,13,23,5,3,-2.0
348,H,30,39,W,L,L,L,W,D,-23,-4,-9,0,11.0
349,A,35,77,L,W,D,D,W,W,-2,50,-42,-3,11.0
350,H,47,45,D,W,D,L,L,L,-6,-11,2,8,3.0
351,A,46,50,D,L,D,D,L,L,-7,3,-4,0,8.0
352,D,45,50,L,L,W,D,D,W,-7,5,-5,-3,4.0
353,H,49,62,W,D,L,W,W,W,-3,15,-13,-6,0.0
354,A,24,62,L,L,W,W,W,W,-35,25,-38,-6,13.0
355,D,47,46,D,W,D,D,L,D,-6,-7,1,6,-4.0
356,H,66,62,W,W,L,W,W,W,25,15,4,-3,-1.0
357,H,50,33,D,D,W,L,W,L,5,-24,17,0,-8.0
358,D,24,38,L,L,W,W,L,W,-35,1,-14,-1,5.0
359,H,54,38,L,L,W,L,L,L,21,-14,16,3,-8.0
360,H,45,46,L,L,L,D,L,L,-12,-7,-1,-7,-2.0
361,H,65,47,W,W,W,L,D,W,28,-9,18,7,-7.0
362,A,80,38,L,W,D,L,L,W,51,-23,42,7,-15.0
363,H,53,52,W,D,L,W,W,D,4,-2,1,-2,-13.0
364,H,39,46,L,L,L,L,D,L,-7,-10,-7,2,-6.0
365,H,62,34,L,W,W,W,D,W,14,-22,28,3,0.0
366,D,65,57,W,W,W,W,L,L,28,22,8,6,-1.0
367,H,62,25,L,W,W,D,L,L,14,-35,37,5,-14.0
368,H,46,80,L,D,L,L,W,D,-10,51,-34,-8,14.0
369,D,47,69,L,D,W,W,W,W,-9,26,-22,-4,9.0
370,A,52,66,L,W,W,D,W,W,-3,28,-14,-6,16.0
371,D,33,25,L,L,L,L,D,L,-27,-40,8,-1,-3.0
372,D,41,65,W,L,L,W,L,W,-22,15,-24,-6,-4.0
373,D,41,56,L,W,L,W,W,D,-14,5,-15,-4,6.0
374,H,65,48,W,L,W,W,L,L,19,-10,17,9,-5.0
375,A,34,58,L,W,D,D,W,L,-23,22,-24,0,15.0
376,H,39,42,D,L,W,W,L,L,-1,-4,-3,1,3.0
377,H,48,54,D,L,D,W,D,D,-9,6,-6,-3,5.0
378,H,49,70,W,L,D,D,W,W,-9,26,-21,-5,13.0
379,H,46,80,L,D,L,L,L,W,-9,50,-34,-3,9.0
410,A,3,5,L,L,W,W,D,D,-2,2,-2,-2,-5.0
411,H,5,7,D,D,W,W,D,W,1,3,-2,-2,-15.0
412,A,0,5,L,L,L,W,D,D,-7,3,-5,-5,3.0
413,H,4,4,D,L,W,W,D,L,-1,0,0,0,-13.0
414,D,4,4,D,W,L,D,W,L,0,1,0,0,-11.0
415,H,2,0,L,D,D,L,L,L,-1,-6,2,2,2.0
416,A,9,0,W,W,W,L,L,L,7,-6,9,9,10.0
417,A,4,1,D,L,W,D,L,L,-1,-9,3,3,4.0
418,A,7,3,W,D,W,L,L,W,3,-2,4,4,13.0
419,A,4,6,D,W,L,W,L,W,1,7,-2,-2,18.0
420,H,0,2,L,L,L,L,D,D,-10,-3,-2,-2,-1.0
421,H,8,8,W,W,D,W,D,D,4,4,0,0,10.0
422,D,6,7,D,W,D,W,D,L,2,0,-1,-1,1.0
423,A,4,8,L,D,W,D,D,W,-2,3,-4,-4,5.0
424,D,4,4,D,L,W,L,W,D,0,-1,0,0,-15.0
425,A,5,8,W,L,D,W,D,W,1,3,-3,-3,6.0
426,A,4,0,W,D,L,L,L,L,-8,-10,4,4,-1.0
427,D,4,10,L,W,D,D,W,W,-1,7,-6,-6,0.0
428,A,7,5,W,D,L,W,L,D,0,1,2,2,-5.0
429,D,7,10,D,W,L,D,W,W,7,7,-3,-3,-18.0
430,H,5,7,D,L,W,L,L,W,-1,-2,-2,-2,4.0
431,D,4,5,L,W,D,L,D,D,-9,-1,-1,-1,-7.0
432,H,9,5,W,W,L,L,W,L,1,0,4,4,-9.0
433,H,8,5,L,W,D,D,D,L,3,0,3,3,-4.0
434,D,8,5,D,W,D,D,L,D,0,-2,3,3,-2.0
435,D,9,3,D,W,D,W,L,L,3,-8,6,6,-8.0
436,H,11,5,W,D,D,L,D,D,5,-2,6,6,-13.0
437,H,5,8,W,L,D,L,W,W,0,1,-3,-3,4.0
438,A,3,9,L,W,L,W,D,W,-7,4,-6,-6,2.0
439,H,8,4,L,W,W,L,W,D,1,-9,4,4,-2.0
440,A,11,8,D,L,D,L,D,W,6,-1,3,3,13.0
441,H,8,5,W,D,L,D,L,W,0,-9,3,3,-4.0
442,A,5,11,L,L,D,D,W,D,-5,9,-6,-6,15.0
443,H,7,5,L,L,L,L,W,L,-3,-5,2,-1,1.0
444,A,6,6,W,W,L,W,L,W,-7,-5,0,0,4.0
445,A,8,11,W,L,W,W,L,W,1,7,-3,-1,11.0
446,H,12,6,W,W,D,D,D,L,6,-1,6,5,-12.0
447,D,6,10,D,L,D,D,D,W,-1,3,-4,-3,14.0
448,A,5,14,L,D,D,W,W,D,-4,8,-9,-6,1.0
449,A,11,12,W,L,W,W,W,W,2,3,-1,1,8.0
450,A,12,11,D,D,L,L,W,L,6,0,1,-3,9.0
451,D,9,7,D,W,D,D,W,W,0,-7,2,-1,-5.0
452,H,13,5,W,D,D,L,D,L,5,-10,8,4,-7.0
453,D,5,10,L,L,D,W,L,L,-5,2,-5,-4,-11.0
454,D,13,17,D,W,W,W,W,W,3,9,-4,-1,-1.0
455,A,6,14,L,W,L,W,D,W,-7,11,-8,-5,8.0
456,A,9,14,D,L,D,W,W,L,-1,9,-5,-4,6.0
457,H,15,7,W,W,W,D,D,L,8,-1,8,9,-12.0
458,H,9,5,W,D,D,L,L,W,0,-11,4,4,5.0
459,H,8,5,L,W,L,L,L,L,0,-7,3,4,-5.0
460,D,17,9,W,W,D,L,W,D,13,-2,8,6,-18.0
461,D,5,10,L,L,L,D,D,W,-9,0,-5,-5,8.0
462,H,11,15,D,W,L,L,W,W,2,7,-4,-6,8.0
463,A,5,16,L,L,D,W,D,W,-12,6,-11,-9,10.0
