,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
5932,H,47,34,W,D,W,W,L,D,16,-2,13,2,8.0
5933,H,37,33,L,W,D,L,D,W,7,-1,4,1,-5.0
5934,A,23,42,L,L,L,W,W,L,-15,22,-19,-4,15.0
5935,A,19,44,D,L,W,D,W,D,-18,22,-25,-2,14.0
5936,D,28,25,D,L,D,W,W,L,-8,-9,3,1,5.0
5937,H,36,13,D,L,W,D,D,W,8,-20,23,5,-5.0
5938,H,29,21,L,D,D,L,W,D,6,-16,8,-1,-4.0
5939,D,32,28,W,L,L,W,D,D,1,-2,4,-6,19.0
5940,H,13,23,L,D,D,L,L,L,-22,-18,-10,2,-3.0
5941,D,34,19,L,W,L,L,D,L,-4,-19,15,-3,-10.0
5942,A,47,50,W,D,W,W,W,D,23,18,-3,0,-12.0
5943,H,21,29,L,L,W,D,D,L,-19,-8,-8,-2,2.0
5944,H,34,39,D,W,W,W,D,L,8,10,-5,0,-5.0
5945,A,33,32,L,L,D,W,L,D,-4,9,1,-2,-2.0
5946,D,26,31,D,W,W,L,L,L,-9,-4,-5,7,-2.0
5947,H,45,33,W,W,W,D,W,L,25,1,12,6,-15.0
5948,A,28,45,W,D,W,D,L,D,-10,15,-17,2,17.0
5949,D,29,40,D,W,D,W,L,W,-2,10,-11,-1,-3.0
5950,A,28,33,L,W,D,L,L,L,-12,-7,-5,3,11.0
5951,H,30,24,D,D,W,W,L,L,-2,-18,6,0,-14.0
5952,A,32,33,D,L,L,L,D,W,-4,0,-1,-3,-10.0
5953,A,35,29,W,W,L,L,D,D,12,-9,6,5,-2.0
5954,D,23,39,L,L,L,L,W,D,-20,9,-16,-7,8.0
5955,H,20,41,D,L,D,D,W,L,-19,10,-21,-3,12.0
5956,A,27,37,D,D,W,W,D,W,-9,9,-10,-5,1.0
5957,H,48,53,W,D,L,W,W,W,17,20,-5,-7,-11.0
5958,A,16,35,W,L,D,D,L,W,-20,-4,-19,3,11.0
5959,A,47,48,L,W,D,W,W,W,21,26,-1,-4,-3.0
5960,H,53,24,L,W,W,D,L,L,19,-20,29,9,-6.0
5961,A,40,33,W,W,D,W,D,D,10,2,7,4,6.0
5962,H,36,16,W,L,L,L,W,L,-5,-26,20,-1,-8.0
5963,D,36,28,W,L,D,L,L,W,1,-14,8,0,0.0
5964,H,32,32,W,L,D,L,D,L,-8,-5,0,4,3.0
5965,H,40,23,D,L,W,W,D,L,9,-18,17,0,-4.0
5966,H,51,27,W,W,W,L,D,D,27,-10,24,7,-3.0
5967,H,41,51,L,D,W,W,W,D,9,18,-10,-1,1.0
5968,A,16,35,L,W,L,L,W,W,-26,11,-19,-2,6.0
5969,H,28,40,L,L,W,W,W,D,-14,10,-12,-6,13.0
5970,D,56,35,W,L,W,W,W,L,20,-7,21,4,1.0
5971,A,24,36,L,D,L,W,W,D,-21,3,-12,-10,19.0
5972,D,23,32,L,W,D,L,L,D,-19,-6,-9,4,6.0
5973,A,51,27,L,W,W,L,L,D,17,-11,24,2,-5.0
5974,H,41,47,W,W,D,L,L,L,5,17,-6,6,4.0
5975,H,44,37,W,L,D,D,W,L,10,1,7,-1,-16.0
5976,H,39,24,W,W,L,L,L,W,-4,-23,15,3,-6.0
5977,H,43,54,W,D,L,W,W,W,10,28,-11,-7,7.0
5978,D,36,39,W,W,D,W,W,L,3,-4,-3,5,-8.0
5979,A,38,43,W,L,W,W,D,L,13,10,-5,1,-1.0
5980,H,50,16,W,L,L,L,L,L,21,-29,34,3,-15.0
5981,A,24,32,L,L,L,W,D,L,-25,-12,-8,-4,-5.0
5982,D,40,24,L,L,W,D,L,W,7,-19,16,2,-9.0
5983,H,30,24,W,L,L,L,L,D,-10,-22,6,4,-12.0
5984,D,54,51,L,W,W,L,L,W,27,16,3,5,2.0
5985,A,37,57,L,D,W,D,W,L,0,20,-20,-5,6.0
5986,A,33,44,D,L,L,W,W,W,-6,6,-11,-8,4.0
5987,H,36,47,D,W,W,W,W,L,-7,11,-11,-2,9.0
5988,H,32,30,W,D,L,W,L,L,-12,-10,2,2,12.0
5989,D,24,50,L,L,D,W,L,L,-22,21,-26,-5,18.0
5990,A,43,41,D,W,W,D,L,L,-3,7,2,3,2.0
5991,A,16,55,L,L,L,D,L,W,-33,27,-39,-7,12.0
5992,H,60,24,W,D,W,L,L,L,21,-26,36,7,-1.0
5993,D,40,49,D,W,W,W,W,W,4,12,-9,1,-11.0
5994,A,33,60,L,D,L,W,D,W,-7,21,-27,-8,-4.0
5995,A,38,52,L,L,W,D,L,L,10,16,-14,-1,8.0
5996,H,33,16,W,W,L,L,L,L,-9,-33,17,4,-9.0
5997,A,37,43,L,L,D,D,W,W,-1,-3,-6,-6,11.0
5998,A,39,24,W,D,W,L,L,L,-6,-23,15,9,-7.0
5999,A,51,47,D,W,L,L,W,W,21,10,4,-3,-2.0
6000,D,25,26,D,L,L,D,D,D,-26,-19,-1,-5,-1.0
6001,H,44,45,W,D,L,D,L,W,8,5,-1,-3,1.0
6002,H,58,38,W,D,L,W,W,W,29,-9,20,0,-15.0
6003,H,55,37,W,D,L,L,L,L,18,-2,18,3,-17.0
6004,A,16,41,L,L,L,D,D,W,-35,4,-25,-11,16.0
6005,A,38,51,W,W,W,L,D,W,-9,20,-13,6,18.0
6006,D,45,58,D,L,W,W,D,L,5,29,-13,0,1.0
6007,H,25,25,D,L,L,D,L,L,-23,-26,0,1,5.0
6008,D,43,33,L,D,W,L,W,W,-4,-10,10,4,1.0
6009,D,26,39,D,D,D,L,W,D,-19,-7,-13,-4,3.0
6010,D,51,34,D,D,W,D,L,L,12,-8,17,9,2.0
6011,H,66,47,W,W,W,W,W,D,23,9,19,6,7.0
6012,H,53,39,W,W,L,D,L,L,12,9,14,8,-7.0
6013,A,16,38,L,L,L,L,W,W,-36,-12,-22,-10,-3.0
6014,H,34,28,D,L,L,W,D,L,-8,-22,6,-2,-10.0
