,HTP,ATP,HTGD,ATGD,DiffFormPts,DiffPts,FTR
4018,-0.13476286757447983,-0.14529471887144146,-0.25606315557448606,-0.14253048724241682,-1.0322043760979283,0.011903159298818628,D
4019,0.1539361482440806,0.028386274530003298,0.1360131307590325,0.18508994096366385,-0.39057758089151995,0.14738627326911197,D
4020,0.5581147703900653,1.1862595638729683,0.3973973216480449,1.8887161676352833,-0.17670198248938387,-0.7332539675377947,D
4021,0.9045535893723378,-0.31897571227288624,1.5082801329263473,-0.9943436005782266,1.1065516079234328,1.4344758559868986,H
4022,-0.3079822770656161,0.8388975770700788,-0.97486968051927,1.1024271399406897,-1.6738311713043366,-1.3429279804041148,H
4023,0.03845654191665644,0.3178545968657446,-0.3867552510189922,0.18508994096366385,-1.2460799745000644,-0.32680462562691476,A
4024,-0.07702306441076774,-0.43476304120718273,-0.12537106012997987,-1.0598676862194427,0.03717361591275223,0.4183525012096986,D
4025,-0.250242473901904,0.1441736034642998,-0.12537106012997987,0.11956585532244773,-0.39057758089151995,-0.46228773959720804,H
4026,1.1932526051908983,-0.26108204780573796,1.9003564192598659,-0.6667231723721458,1.3204272063255689,1.7054420839274853,H
4027,0.09619634508036853,0.5494292547343376,0.2013591784812856,0.38166219788731226,-0.6044531792936562,-0.5300292965823548,D
4028,-0.3657220802293282,-0.0874010544042932,-0.909523632797017,-0.2735786585248491,0.4649248127170244,-0.32680462562691476,A
4029,0.03845654191665644,-0.14529471887144146,-0.3867552510189922,-0.7977713436545781,0.8926760095212967,0.21512783025425863,H
4030,0.1539361482440806,0.7810039126029306,0.2013591784812856,1.4955716537879864,-1.2460799745000644,-0.7332539675377947,A
4031,0.03845654191665644,1.359940557274413,-0.45210129874124527,1.9542402532764993,-2.1015823681086085,-1.5461526513595547,A
4032,-0.3079822770656161,-0.14529471887144146,-1.1709078236860293,-0.9288195149370104,-0.39057758089151995,-0.19132151165662137,A
4033,0.09619634508036853,-0.0874010544042932,-0.06002501240772677,-0.011482315959984543,-0.6044531792936562,0.21512783025425863,H
4034,1.077772998863474,-0.029507389937144954,1.7043182760931066,-0.14253048724241682,1.1065516079234328,1.2989927420166052,H
4035,1.3664720146820346,-0.14529471887144146,1.965702466982119,-0.9288195149370104,1.748178403129841,1.7731836409126318,H
4036,0.384895360898929,0.7810039126029306,0.2013591784812856,1.4955716537879864,-0.6044531792936562,-0.46228773959720804,A
4037,-0.13476286757447983,-0.31897571227288624,-0.909523632797017,-1.190915857501875,0.03717361591275223,0.21512783025425863,D
4038,-0.1925026707381919,1.0125785704715236,-0.6481394419080047,1.1679512255819058,-1.6738311713043366,-1.4106695373892615,D
4039,0.03845654191665644,0.6073229192014858,-0.5174473464634983,0.38166219788731226,-0.39057758089151995,-0.6655124105526481,A
4040,0.03845654191665644,-0.37686937674003446,-0.5827933941857515,-1.2564399431430913,-0.39057758089151995,0.48609405819484525,A
4041,0.1539361482440806,-0.37686937674003446,-0.06002501240772677,-1.190915857501875,-0.39057758089151995,0.6215771721651386,H
4042,-0.07702306441076774,0.1441736034642998,-0.06002501240772677,0.11956585532244773,-0.17670198248938387,-0.25906306864176804,H
4043,0.2694157545715048,0.1441736034642998,0.005321035314526323,-0.14253048724241682,0.25104921431488836,0.14738627326911197,H
4044,0.03845654191665644,-0.0874010544042932,-0.8441775850747639,-0.07700640160120067,0.25104921431488836,0.14738627326911197,D
4045,-0.019283261247055646,0.028386274530003298,-0.19071710785223295,-0.6011990867309297,0.4649248127170244,-0.055838397686328034,H
4046,1.020033195699762,-0.0874010544042932,1.1162038465928288,-0.9288195149370104,1.3204272063255689,1.2989927420166052,H
4047,0.1539361482440806,1.2441532283401167,0.1360131307590325,1.757667996352851,-1.0322043760979283,-1.275186423418968,D
4048,0.1539361482440806,0.5494292547343376,-0.12537106012997987,0.25061402660487997,-0.8183287776957923,-0.46228773959720804,H
4049,0.7890739830449136,0.1441736034642998,0.462743369370298,-0.07700640160120067,1.534302804727705,0.757060286135432,H
4050,-0.250242473901904,0.20206726793144805,-1.2362538714082825,-0.47015091544849746,-0.6044531792936562,-0.5300292965823548,H
4051,-0.1925026707381919,1.533621550675858,-1.1055617759637761,2.0197643389177156,-0.8183287776957923,-2.0203435502555815,H
4052,0.9622933925360498,0.4336419258000411,1.5736261806486005,0.11956585532244773,-0.17670198248938387,0.6215771721651386,A
4053,-0.1925026707381919,0.1441736034642998,-1.1055617759637761,-0.5356750010897136,-0.17670198248938387,-0.39454618261206137,A
4054,1.3087322115183224,-0.2031883833385897,1.7696643238153598,-1.125391771860659,1.1065516079234328,1.7731836409126318,H
4055,0.1539361482440806,0.3178545968657446,-0.5174473464634983,-0.07700640160120067,0.4649248127170244,-0.19132151165662137,H
4056,0.21167595140779272,0.20206726793144805,-0.45210129874124527,0.11956585532244773,0.03717361591275223,0.011903159298818628,D
4057,0.03845654191665644,0.028386274530003298,-0.7134854896302577,-0.9943436005782266,-1.4599555729022005,0.011903159298818628,D
